Name,Pitch_R1_Deg,Roll_R2_Deg,Yaw_R3_Deg,Horz_Off_Meters,Vert_Off_Meters
LS1_CA03:CAV2_D1203,0.0061,0.0356,0.0239,-0.000139,0.000186
LS1_CA03:CAV3_D1209,0.0526,-0.0256,-0.0107,0.000092,0.000418
LS1_CA03:SOL2_D1214,0.0007,-0.0416,0.0058,0.000073,0.000052
LS1_CA03:CAV4_D1218,-0.031,-0.0363,-0.0326,-0.000096,0.000006
LS1_CB01:CAV1_D1229,-0.0047,0.0448,0.0726,0.000477,-0.000016
LS1_CB01:SOL1_D1235,0.0065,0.012,0.0069,-0.000005,0.000028
LS1_CB01:CAV2_D1241,0.0052,-0.0052,-0.003,-0.000019,-0.000485
LS1_CB01:CAV3_D1245,0.0211,0.0545,-0.0578,0.000171,-0.000304
LS1_CB01:CAV4_D1249,0.0147,-0.2602,0.0166,0.000078,-0.000363
LS1_CB01:SOL2_D1255,-0.01,0.017,0,0.000209,-0.000172
LS1_CB01:CAV5_D1261,-0.0088,0.1512,0.0194,0.000306,-0.000407
LS1_CB01:CAV6_D1265,-0.01,-0.3253,0.0261,0.000135,0.000037
LS1_CB01:CAV7_D1269,0.012,0.0736,-0.033,0.00013,-0.00061
LS1_CB01:SOL3_D1275,0.0366,0.0072,-0.0066,-0.000012,-0.000038
LS1_CB01:CAV8_D1281,-0.0038,0.1097,-0.0543,0.000094,-0.000535
LS1_CB02:CAV1_D1293,0.0095,0.0191,-0.0082,0.000005,-0.000252
LS1_CB02:SOL1_D1299,0.0113,-0.0301,0.0119,-0.000011,-0.000334
LS1_CB02:CAV2_D1305,0.033,-0.0027,-0.0379,0.000005,-0.000578
LS1_CB02:CAV3_D1309,0.0075,0.2241,0.0208,0.000098,-0.000575
LS1_CB02:CAV4_D1313,-0.0184,-0.0257,0.0257,-0.000005,-0.000628
LS1_CB02:SOL2_D1319,0.0006,-0.0003,0.0167,-0.000324,-0.000127
LS1_CB02:CAV5_D1325,-0.0154,-0.0089,0.0028,-0.000002,-0.000541
LS1_CB02:CAV6_D1329,0.0406,-0.0301,-0.0826,-0.000214,-0.000606
LS1_CB02:CAV7_D1333,-0.0417,-0.0574,0.0235,-0.000395,-0.000443
LS1_CB02:SOL3_D1339,-0.0025,-0.007,0.0125,-0.000043,-0.000337
LS1_CB02:CAV8_D1345,-0.0375,0.1036,0.0109,-0.000409,-0.00058
LS1_CB03:CAV1_D1356,0.017,0.025,-0.024,-0.000329,-0.00042
LS1_CB03:SOL1_D1363,0.0031,-0.0657,-0.0004,-0.000264,-0.00037
LS1_CB03:CAV2_D1368,0.0233,0.0962,-0.0213,0.000114,-0.000563
LS1_CB03:CAV3_D1372,-0.0044,-0.0403,0.0275,0.000041,-0.000527
LS1_CB03:CAV4_D1376,0.0054,0.0026,0.009,-0.000186,-0.000514
LS1_CB03:SOL2_D1383,-0.0112,-0.0384,0.0258,-0.00031,-0.000242
LS1_CB03:CAV5_D1388,-0.0476,0.13,0.056,-0.000444,-0.000757
LS1_CB03:CAV6_D1392,0.016,0.0999,0.0615,-0.000448,-0.000585
LS1_CB03:CAV7_D1396,-0.0308,-0.0302,0.0773,-0.000515,-0.000587
LS1_CB03:SOL3_D1403,-0.0045,0.015,-0.0089,-0.000527,-0.000236
LS1_CB03:CAV8_D1408,-0.0269,0.2204,-0.0144,-0.000407,-0.000611
LS1_CB04:CAV1_D1420,0.0263,-0.0253,0.0208,-0.000023,-0.000303
LS1_CB04:SOL1_D1426,0.0039,-0.0316,0.0149,-0.000235,-0.000196
LS1_CB04:CAV2_D1432,-0.0447,0.0863,-0.0433,-0.000125,-0.000359
LS1_CB04:CAV3_D1436,0.0442,-0.0165,0.0313,-0.000215,-0.000468
LS1_CB04:CAV4_D1440,-0.0173,-0.2185,-0.0012,-0.000239,-0.000372
LS1_CB04:SOL2_D1446,-0.0113,-0.0024,-0.0139,-0.000248,-0.000197
LS1_CB04:CAV5_D1452,-0.027,-0.168,-0.087,0.000136,-0.000334
LS1_CB04:CAV6_D1456,0.0032,0.1828,-0.0676,-0.000074,-0.00044
LS1_CB04:CAV7_D1460,0.0173,-0.0428,-0.0327,-0.000093,-0.000424
LS1_CB04:SOL3_D1466,0.0062,-0.0143,0.0158,-0.000239,-0.000232
LS1_CB04:CAV8_D1472,0.017,0.0426,0.0276,-0.00011,-0.000518
LS1_CB05:CAV1_D1484,0.0457,-0.0151,0.0381,-0.000179,-0.000437
LS1_CB05:SOL1_D1490,-0.0046,0.0213,-0.0076,-0.000282,-0.000184
LS1_CB05:CAV2_D1496,-0.03,-0.0096,-0.0102,-0.000317,-0.000494
LS1_CB05:CAV3_D1500,-0.0114,-0.0701,0.0047,-0.000068,-0.000377
LS1_CB05:CAV4_D1504,0.0222,-0.4279,-0.0211,-0.000075,0.000031
LS1_CB05:SOL2_D1510,0.0104,-0.0542,-0.0087,-0.000099,-0.000211
LS1_CB05:CAV5_D1516,0.0165,0.0487,0.0758,-0.000246,-0.000611
LS1_CB05:CAV6_D1520,0.0285,-0.0163,0.0125,-0.00014,-0.00065
LS1_CB05:CAV7_D1524,0.0315,-0.0086,-0.0542,0.000037,-0.000489
LS1_CB05:SOL3_D1530,0.0093,-0.0053,-0.0008,-0.00025,-0.000171
LS1_CB05:CAV8_D1536,-0.0139,-0.048,0.0736,-0.000248,-0.00045
LS1_CB06:CAV1_D1548,0.0783,-0.0766,0.0467,-0.000053,0.000099
LS1_CB06:SOL1_D1554,0.0029,-0.0398,0.0065,-0.000232,0
LS1_CB06:CAV2_D1560,0.0313,0.0241,0.0062,-0.000166,-0.000429
LS1_CB06:CAV3_D1564,0.0374,0.1868,-0.0216,0.000209,-0.000389
LS1_CB06:CAV4_D1567,-0.0182,0.1115,-0.0053,0.000036,-0.000741
LS1_CB06:SOL2_D1574,0.0213,-0.0069,-0.006,-0.00008,-0.000301
LS1_CB06:CAV5_D1580,0.0437,-0.0071,-0.0009,0.000152,-0.000456
LS1_CB06:CAV6_D1583,0.0413,0.0046,0.0094,-0.000129,-0.000577
LS1_CB06:CAV7_D1587,-0.0222,0.0389,0.1286,-0.00034,-0.000324
LS1_CB06:SOL3_D1594,0.0064,0.0144,0.0121,-0.000342,-0.000215
LS1_CB06:CAV8_D1599,0.0497,0.0669,0.0407,-0.000453,-0.000291
LS1_CB07:CAV1_D1611,0.0139,-0.0302,0.0037,-0.000346,0.000136
LS1_CB07:SOL1_D1618,-0.0008,-0.0245,-0.0113,-0.000138,-0.000142
